CompanyName,JobsInTotal,City,State
Youth-LED Justice,1,Portland,ME
Youth Marketing Connection,1,Bangor,ME
Youth Marketing Connection,1,Lewiston,ME
Youth Marketing Connection,1,"Portland, ME",ME
Youth Dentistry & Braces - a Benevis company,1,Augusta,ME
Youth and Family Outreach,2,Portland,ME
"Youth Advocate Programs, Inc.",2,Bangor,ME
"Youth Advocate Programs, Inc.",2,Buckfield,ME
"Youth Advocate Programs, Inc.",2,Jay,ME
"Youth Advocate Programs, Inc.",1,Orono,ME
"Youth Advocate Programs, Inc.",1,Westbrook,ME
Youth Advocate Program Inc,1,Buckfield,ME
Youth Advocate Program Inc,1,Greenbush,ME
Youth Advocate Program Inc,1,"Orono, ME",ME
Yours Truly Media,1,,ME
Yours Truly Media,1,Cape Neddick,ME
Yours Truly,1,Indian,ME
Your Little Artist,2,South Portland,ME
Young Men's Christian Association Boothbay Region,1,Boothbay Harbor,ME
You Regatta,1,Falmouth,ME
Yoshi Japanese Restaurant,1,Brewer,ME
York Water District,3,York,ME
York Village Dental,1,York,ME
York School Department,8,York,ME
York Land Trust,1,York,ME
York Housing,1,York,ME
York Hospital,223,York,ME
York Hospital,30,Kittery,ME
York Hospital,23,South Berwick,ME
York Hospital,13,Wells,ME
York Hospital,6,"York, ME",ME
York Hospital,4,Berwick,ME
York Hospital,4,Maine,ME
York Hospital,3,Moody,ME
York Hospital,1,Corinna,ME
York Hospital,1,"Kittery, ME",ME
York Hospital,1,York County,ME
York Hospital,1,"York, ME 03909",ME
York High School,2,York,ME
York Harbor Inn,1,York,ME
York Harbor Inn,1,York Harbor,ME
York Golf and Tennis Club,4,York,ME
York Golf and Tennis Club,1,York Harbor,ME
York County Shelter Program,1,Alfred,ME
York County Government,8,Alfred,ME
York County Community College,3,Wells,ME
York County Community Action Plan,17,Biddeford,ME
York County Community Action Plan,17,Sanford,ME
York County Community Action Plan,8,Saco,ME
York County Community Action Plan,5,Kittery,ME
York County Community Action Plan,4,Springvale,ME
York County Community Action Plan,3,,ME
York County Community Action Plan,3,Bangor,ME
York County Community Action Plan,3,Lewiston,ME
York County Community Action Plan,3,Orono,ME
York County Community Action Plan,3,Portland,ME
York County Community Action Plan,3,Topsham,ME
York County Community Action Plan,2,Brewer,ME
York County Community Action Plan,2,Bucksport,ME
York County Community Action Plan,2,Gray,ME
York County Community Action Plan,2,Harpswell,ME
York County Community Action Plan,2,Holden,ME
York County Community Action Plan,2,Old Orchard Beach,ME
York County Community Action Plan,1,Alfred,ME
York County Community Action Plan,1,Augusta,ME
York County Community Action Plan,1,Bar Harbor,ME
York County Community Action Plan,1,Bath,ME
York County Community Action Plan,1,Belfast,ME
York County Community Action Plan,1,Bridgton,ME
York County Community Action Plan,1,Brunswick,ME
York County Community Action Plan,1,Camden,ME
York County Community Action Plan,1,Caribou,ME
York County Community Action Plan,1,Casco,ME
York County Community Action Plan,1,China,ME
York County Community Action Plan,1,Eliot,ME
York County Community Action Plan,1,Ellsworth,ME
York County Community Action Plan,1,Falmouth,ME
York County Community Action Plan,1,Fryeburg,ME
York County Community Action Plan,1,Gardiner,ME
York County Community Action Plan,1,Gorham,ME
York County Community Action Plan,1,Greene,ME
York County Community Action Plan,1,Hampden,ME
York County Community Action Plan,1,Hollis,ME
York County Community Action Plan,1,Jay,ME
York County Community Action Plan,1,Kennebunkport,ME
York County Community Action Plan,1,Limington,ME
York County Community Action Plan,1,Lisbon,ME
York County Community Action Plan,1,Litchfield,ME
York County Community Action Plan,1,New Gloucester,ME
York County Community Action Plan,1,Norridgewock,ME
York County Community Action Plan,1,North Berwick,ME
York County Community Action Plan,1,North Yarmouth,ME
York County Community Action Plan,1,Norway,ME
York County Community Action Plan,1,Old Town,ME
York County Community Action Plan,1,Orrington,ME
York County Community Action Plan,1,Oxford,ME
York County Community Action Plan,1,Paris,ME
York County Community Action Plan,1,Pittsfield,ME
York County Community Action Plan,1,Presque Isle,ME
York County Community Action Plan,1,Raymond,ME
York County Community Action Plan,1,Rockland,ME
York County Community Action Plan,1,Sabattus,ME
York County Community Action Plan,1,Scarborough,ME
York County Community Action Plan,1,Skowhegan,ME
York County Community Action Plan,1,South Berwick,ME
York County Community Action Plan,1,South Portland,ME
York County Community Action Plan,1,Turner,ME
York County Community Action Plan,1,Union,ME
York County Community Action Plan,1,Waldoboro,ME
York County Community Action Plan,1,Waterboro,ME
York County Community Action Plan,1,Wells,ME
York County Community Action Plan,1,Westbrook,ME
York County Community Action Plan,1,Windham,ME
York County Community Action Plan,1,Winterport,ME
York County Community Action Plan,1,Winthrop,ME
York County Community Action Plan,1,Wiscasset,ME
York County Community Action Plan,1,Yarmouth,ME
York County Community Action Corp./Nasson Health Care,1,Springvale,ME
York Beach Surf Club,1,York,ME
York Beach Residence Club,1,York,ME
Yokogawa Fluid Imaging Technologies,1,Scarborough,ME
YOH Services LLC,1,Farmingdale,ME
YMCA of Southern Maine -  Casco Bay Branch,1,Freeport,ME
YMCA of Southern Maine,58,Portland,ME
YMCA of Southern Maine,31,Freeport,ME
YMCA of Southern Maine,23,Biddeford,ME
YMCA of Southern Maine,9,Standish,ME
YMCA of Southern Maine,1,Orono,ME
YMCA of Auburn-Lewiston,3,Rumford,ME
YMCA of Auburn-Lewiston,1,Dryden,ME
YMCA of Auburn-Lewiston,1,Weld,ME
YMCA Camp of Maine,1,Winthrop,ME
YMCA Buffalo Niagara,1,Lewiston,ME
YMCA,46,Portland,ME
YMCA,2,Westbrook,ME
YMCA,1,Bath,ME
YMCA,1,"Y Health Club and Spa, Lewiston",ME
YellowCareer,3,Portland,ME
YellowCareer,1,Bangor,ME
YellowCareer,1,Biddeford,ME
YellowCareer,1,Lewiston,ME
YellowCareer,1,South Portland,ME
Yellow Leaf Hammocks,6,Lewiston,ME
Yellow Leaf Hammocks,4,Portland,ME
Yellow Leaf Hammocks,3,South Portland,ME
Yellow Leaf Hammocks,2,Bangor,ME
Yellow Leaf Hammocks,1,Augusta,ME
Yellow,2,Lewiston,ME
Yellow,1,Shapleigh,ME
Year Up,20,Alfred,ME
Year Up,18,Acton,ME
Year Up,18,Berwick,ME
Year Up,18,Kittery,ME
Year Up,18,Portland,ME
Year Up,18,South Berwick,ME
Year Up,18,Wells,ME
Year Up,17,South Portland,ME
Year Up,16,Eliot,ME
Year Up,15,Kennebunk,ME
Year Up,15,Kennebunkport,ME
Year Up,15,Lebanon,ME
Year Up,15,North Berwick,ME
Year Up,15,Sanford,ME
Year Up,14,Standish,ME
Year Up,13,Steep Falls,ME
Year Up,13,Westbrook,ME
Year Up,12,Scarborough,ME
Year Up,11,Biddeford,ME
Year Up,11,Old Orchard Beach,ME
Year Up,11,Shapleigh,ME
Year Up,10,Cape Neddick,ME
Year Up,10,Gorham,ME
Year Up,10,Saco,ME
Year Up,9,Cape Elizabeth,ME
Year Up,9,Limington,ME
Year Up,9,Waterboro,ME
Year Up,8,Buxton,ME
Year Up,7,York,ME
Year Up,7,York Harbor,ME
Year Up,6,Limerick,ME
Year Up,2,Cranberry Isles,ME
Yarmouth School Department,36,Yarmouth,ME
Yarmouth School Department,7,"Yarmouth ",ME
Yarmouth School Department,1,Maine,ME
Yarmouth Boat Yard,3,Yarmouth,ME
Yardi,8,Long Island,ME
YAP Maine,3,Bangor,ME
YAP Maine,3,Orono,ME
YAP Maine,2,Blue Hill,ME
YAP Maine,2,Lewiston,ME
YAP Maine,2,Millinocket,ME
YAP Maine,1,Biddeford,ME
YAP Maine,1,Birch Harbor,ME
YAP Maine,1,Brooksville,ME
YAP Maine,1,Cranberry Isles,ME
YAP Maine,1,Ellsworth,ME
YAP Maine,1,Hancock,ME
YAP Maine,1,Houlton,ME
YAP Maine,1,Islesboro,ME
YAP Maine,1,Portland,ME
YAP Maine,1,Presque Isle,ME
YAP Maine,1,Sorrento,ME
YAP Maine,1,West Paris,ME
Yankee Marina & Boatyard,1,Yarmouth,ME
Yankee Ford,4,South Portland,ME
Yankee Electric & Co. LLC,1,Scarborough,ME
Yankee Candle Company,1,Kittery,ME
Yankee Candle Company,1,South Portland,ME
Yale New Haven Health,2,Westbrook,ME
Yale Cordage Inc.,2,Saco,ME
Yale Cordage,1,Saco,ME
Yachting Solutions LLC,1,Bremen,ME
Y99000 General Electric Company,4,Bangor,ME
Xylem,9,Augusta,ME
xTuple,1,Portland,ME
Xtant Medical Holdings Inc,1,Belgrade,ME
xStellar Inc.,2,Ellsworth,ME
xStellar Inc.,1,Bar Harbor,ME
XPRESS COPY,1,Portland,ME
"XPO Logistics, Inc.",6,Sidney,ME
"XPO Logistics, Inc.",1,Augusta,ME
"XPO Logistics, Inc.",1,Maine,ME
"XPO Logistics, Inc.",1,"Sidney, ME",ME
XPO Logistics,6,Sidney,ME
XPO Logistics,2,Augusta,ME
XPO Logistics,2,Winthrop,ME
XPO Logistics,1,Gardiner,ME
XPO,32,Augusta,ME
XPO,12,Gardiner,ME
XPO,9,Sidney,ME
XPO,8,Winthrop,ME
XPO,3,Belgrade,ME
XPO,3,Vassalboro,ME
XPO,1,Topsham,ME
Xplor Technologies,2,Bangor,ME
Xplor Technologies,1,Lewiston,ME
Xplor Technologies,1,Portland,ME
Xplor Inc,7,Bangor,ME
Xplor Inc,2,Lewiston,ME
Xplor,7,Lewiston,ME
Xplor,7,Portland,ME
Xplor,6,Bangor,ME
Xplor,5,Augusta,ME
XOGISTIX,2,Augusta,ME
XL Sports World Saco,2,Saco,ME
XL MECHANICAL & ENERGY MANAGEMENT SERVICES,1,Bangor,ME
Xiartech,1,Bangor,ME
XFORIA Inc,1,Augusta,ME
Xerox Corporation,13,Lewiston,ME
Xerox Corporation,9,Brunswick,ME
Xerox Corporation,8,Westbrook,ME
Xerox Corporation,6,Portland,ME
Xerox Corporation,4,Bangor,ME
Xerox Corporation,1,Pittsfield,ME
Xerox Corporation,1,Sanford,ME
Xerox,46,Augusta,ME
Xerox,7,Brunswick,ME
Xerox,4,Portland,ME
Xerox,3,Pittsfield,ME
Xerox,3,Sanford,ME
Xerox,2,,ME
Xerox,1,"Portland, ME",ME
Xavier University,1,Indian,ME
X1,1,Lewiston,ME
Wyonegonic Camps,1,Denmark,ME
Wynk,2,Portland,ME
Wyman's of Maine,3,Deblois,ME
Wyman's of Maine,1,Cherryfield,ME
"WWF Washington, DC",6,Indian,ME
WW International,1,South Portland,ME
WVII-TV/WFVX-TV,1,Bangor,ME
Wurth USA,1,Bangor,ME
"Wunderlich-Malec Engineering, Inc.",1,Biddeford,ME
"Wunderlich-Malec Engineering, Inc.",1,Portland,ME
Wunderlich-Malec,6,Portland,ME
Wunderlich-Malec,4,Waterville,ME
Wunderlich-Malec,3,Biddeford,ME
Wunderlich-Malec,2,Winslow,ME
Wunderlich-Malec,1,Westbrook,ME
WTW inc.,12,Portland,ME
WTW,5,Portland,ME
WSP USA,36,Portland,ME
WSP USA,16,Eliot,ME
WSP USA,9,Augusta,ME
WSP USA,5,Yarmouth,ME
WSP USA,4,Bucksport,ME
WSP USA,2,PORTLAND,ME
WSP USA,2,"Portland, ME",ME
WSP USA,1,"Eliot, ME",ME
WSP USA,1,York,ME
WSP Global Inc,2,Westbrook,ME
Wsp | Parsons Brinckerhoff,1,Portland,ME
WSP,54,Portland,ME
WSP,14,Augusta,ME
WSP,12,Eliot,ME
WSP,7,Westbrook,ME
WSP,5,York,ME
WSP,3,Bucksport,ME
WSP,2,Yarmouth,ME
WSP,1,"Eliot, ME",ME
WSP,1,"Portland, ME",ME
WSP,1,"Yarmouth, ME",ME
WSP,1,"York, ME",ME
"Wright-Ryan Construction, Inc.",62,Portland,ME
"Wright-Ryan Construction, Inc.",9,Augusta,ME
"Wright-Ryan Construction, Inc.",2,"Portland, ME",ME
Wright-Ryan Construction,16,Portland,ME
Wright-Ryan Construction,1,Westbrook,ME
Wright-Ryan,1,Portland,ME
Wright-Pierce,10,Portland,ME
Wright-Pierce,4,Topsham,ME
Wright-Pierce,1,Westbrook,ME
Wright,1,Portland,ME
Wright,1,Sanford,ME
Worthington Scholarship Foundation,2,Rockland,ME
"Worldwide Flight Services, Inc.",1,Belgrade,ME
Worldwide Clinical Trials - USA,3,Belgrade,ME
WORLDPAC,8,South Portland,ME
WORLDPAC,7,Lewiston,ME
WORLDPAC,1,Portland,ME
World Wide Technology,19,Bangor,ME
World Wide Technology,15,South Portland,ME
World Wide Technology,13,Lewiston,ME
World Wide Technology,12,Portland,ME
World Wide Technology,7,Augusta,ME
World Wide Technology,7,Hermon,ME
World Wide Technology,6,Auburn,ME
World Wide Technology,6,Biddeford,ME
World Wide Technology,4,Sidney,ME
World Wide Technology,3,Chelsea,ME
World Wide Technology,2,"South Portland, ME",ME
World Wide Technology,1,"Hermon, ME",ME
World Wide Technology,1,Togus,ME
WORLD LOGISTICS USA INC,1,Portland,ME
World Heritage International Exchange Students,1,Cape Elizabeth,ME
"World Gym International, LLC",3,Portland,ME
"World Gym International, LLC",1,Westbrook,ME
World Gym,15,Portland,ME
World Financial Group,1,Lewiston,ME
Workway,14,Gray,ME
Workspaace,1,Athens,ME
Workout Anytime Portland,2,Portland,ME
Workker,1,Scarborough,ME
Workiva,19,Bangor,ME
Workiva,19,Lewiston,ME
Workiva,19,Portland,ME
Workiva,18,South Portland,ME
Workiva,8,Hermon,ME
Workiva,7,Auburn,ME
Workiva,6,Augusta,ME
Workiva,5,Biddeford,ME
Workiva,4,Chelsea,ME
Workiva,3,,ME
Workiva,3,Sidney,ME
Workiva,2,Togus,ME
Workiva,1,"Bangor, ME",ME
Workiva,1,"Lewiston, ME",ME
Working Solutions,10,Lewiston,ME
Working Solutions,7,Portland,ME
Working Solutions,6,Augusta,ME
Working Solutions,5,Bangor,ME
Working Solutions,3,Auburn,ME
Working Solutions,2,Biddeford,ME
Working Solutions,1,Gardiner,ME
Working Solutions,1,Gray,ME
Working Solutions,1,Greene,ME
Working Solutions,1,Jay,ME
Working Solutions,1,Poland,ME
Working Solutions,1,Turner,ME
Workday,2,Home Office,ME
Workato,4,Poland,ME
workandearn42,1,Athens,ME
workandearn42,1,Augusta,ME
workandearn42,1,Carmel,ME
Work4 Warehouse,1,Bangor,ME
Work4 Warehouse,1,Lewiston,ME
Work With Your Handz,3,Portland,ME
Work With Your Handz,2,Farmingdale,ME
Work With Your Handz,1,Hiram,ME
Work With Your Handz,1,Hollis Center,ME
Work With Your Handz,1,Indian,ME
Work With Your Handz,1,Indian Township,ME
Work Opportunities Unlimited,2,Portland,ME
Work Opportunities Unlimited,1,Brunswick,ME
Work Opportunities Unlimited,1,Sanford,ME
Work Opportunities Unlimited,1,West Scarborough,ME
Work for Progress,1,Portland,ME
Work At Home Vintage Experts,13,Portland,ME
Work At Home Vintage Experts,3,Augusta,ME
Work At Home Vintage Experts,1,Auburn,ME
Work At Home Vintage Experts,1,Biddeford,ME
Work At Home Vintage Experts,1,Lewiston,ME
Woodwell Climate Research Center,4,Portland,ME
Woods Hole Oceanographic Institution,32,Portland,ME
Woodman's Brew Pub,1,Orono,ME
Woodlawn Rehabilitation &amp; Nursing Center,1,Skowhegan,ME
Woodlawn Rehabilitation & Nursing Center,11,Skowhegan,ME
Woodlawn Rehabilitation & Nursing Center,1,"Skowhegan, ME",ME
Woodlands Senior Living of Waterville,7,Waterville,ME
Woodlands Senior Living of Hallowell,7,Hallowell,ME
"Woodlands Senior Living of Farmington ",10,Farmington,ME
Woodlands Senior Living of Bridgton LLC,5,Bridgton,ME
"Woodlands Senior Living of Brewer ",2,Brewer,ME
Woodlands Senior Living LLC,21,Hallowell,ME
Woodlands Senior Living LLC,18,Lewiston,ME
Woodlands Senior Living LLC,13,Farmington,ME
Woodlands Senior Living LLC,12,Cape Elizabeth,ME
Woodlands Senior Living LLC,8,Brewer,ME
Woodlands Senior Living LLC,6,Rockland,ME
Woodlands Senior Living LLC,3,Bridgton,ME
Woodlands Senior Living LLC,2,Madison,ME
Woodlands Senior Living LLC,2,Pond Cove,ME
Woodlands Senior Living LLC,2,Waterville,ME
Woodlands Senior Living LLC,2,Winslow,ME
Woodlands Senior Living LLC,1,"Bridgton, ME",ME
Woodlands Senior Living,14,Lewiston,ME
Woodlands Senior Living,12,Cape Elizabeth,ME
Woodlands Senior Living,7,Brewer,ME
Woodlands Senior Living,7,Hallowell,ME
Woodlands Senior Living,3,Waterville,ME
Woodlands Senior Living,2,Madison,ME
Woodlands Senior Living,1,Farmington,ME
Woodlands Senior Living,1,Rockland,ME
Woodlands Senior Living,1,Winslow,ME
Woodlands Memory Care of Rockland,6,Rockland,ME
Woodlands Memory Care of Madison,7,Madison,ME
Woodlands Memory Care of Lewiston,11,Lewiston,ME
Woodland Pulp LLC,3,Baileyville,ME
Woodland Pulp LLC,2,Woodland,ME
Woodfords Family Services,60,Westbrook,ME
Woodfords Family Services,48,Lewiston,ME
Woodfords Family Services,26,Waterville,ME
Woodfords Family Services,22,New Gloucester,ME
Woodfords Family Services,10,Bangor,ME
Woodfords Family Services,9,Augusta,ME
Woodfords Family Services,9,Biddeford,ME
Woodfords Family Services,8,Leeds,ME
Woodfords Family Services,8,Saco,ME
Woodfords Family Services,7,Gray,ME
Woodfords Family Services,7,Portland,ME
Woodfords Family Services,7,Scarborough,ME
Woodfords Family Services,6,Brunswick,ME
Woodfords Family Services,6,Windham,ME
Woodfords Family Services,5,Mechanic Falls,ME
Woodfords Family Services,4,Greene,ME
Woodfords Family Services,4,Kennebunk,ME
Woodfords Family Services,4,Litchfield,ME
Woodfords Family Services,4,Manchester,ME
Woodfords Family Services,4,Rome,ME
Woodfords Family Services,4,Sanford,ME
Woodfords Family Services,4,Turner,ME
Woodfords Family Services,3,Topsham,ME
Woodfords Family Services,3,Troy,ME
Woodfords Family Services,3,Winslow,ME
Woodfords Family Services,2,Albion,ME
Woodfords Family Services,2,Damariscotta,ME
Woodfords Family Services,2,Rockland,ME
Woodfords Family Services,1,Fairfield,ME
Woodfords Family Services,1,Gorham,ME
Woodfords Family Services,1,Mexico,ME
Woodfords Family Services,1,"Portland, ME",ME
Woodfords Family Services,1,Sabattus,ME
Woodfords Family Services,1,"Waterville, ME",ME
Woodfords Family Services,1,West Scarborough,ME
Woodfords Family Services,1,"Westbrook, ME",ME
Woodfords,3,New Gloucester,ME
Woodfords,2,Waterville,ME
Woodfords,1,Bangor,ME
Woodfords,1,Lewiston,ME
Woodfords,1,Portland,ME
Woodfords,1,Westbrook,ME
Woodfords,1,lewiston,ME
Woodex Bearing Company,1,Georgetown,ME
"Woodard and Curran, Inc.",2,Portland,ME
"Woodard and Curran, Inc.",1,Bangor,ME
Woodard and Curran,17,Portland,ME
Woodard and Curran,2,Bangor,ME
Woodard and Curran,1,Hampden,ME
Woodard and Curran,1,Lewiston,ME
Woodard and Curran,1,South Portland,ME
"Woodard &amp; Curran, Inc.",3,Portland,ME
"Woodard &amp; Curran, Inc.",1,"Portland, ME 04101",ME
"Woodard &amp; Curran,",1,Maine,ME
"Woodard & Curran, Inc",5,Portland,ME
"Woodard & Curran, Inc",2,"Portland, ME",ME
"Woodard & Curran, Inc",2,Westbrook,ME
"Woodard & Curran, Inc",1,Bangor,ME
Woodard & Curran,3,Portland,ME
Woodard & Curran,1,Westbrook,ME
Wood PLC,1,Freeport,ME
Wonder Works Construction Corp.,3,Buckfield,ME
Wonder Works Construction Corp.,3,Yarmouth,ME
Wonder Works Construction Corp.,1,Bangor,ME
Wonder Works Construction Corp.,1,Belgrade,ME
Wonder Works Construction Corp.,1,China,ME
Wonder Works Construction Corp.,1,Farmington,ME
Wonder Works Construction Corp.,1,Waterville,ME
Wolverine Worldwide,4,Kittery,ME
Wolverine Worldwide,3,Freeport,ME
"Wolverine World Wide, Inc.",2,Kittery,ME
"Wolverine World Wide, Inc.",1,Freeport,ME
Wolverine World Wide,1,Kittery,ME
Wolters Kluwer,94,Augusta,ME
Wolters Kluwer,1,"Augusta, ME",ME
"Wolfoods, Inc.",6,Fryeburg,ME
Wolfoods,1,Fryeburg,ME
Wolfe's Neck Center for Agriculture and the Environment,1,Freeport,ME
Wolfe's Neck Center,9,Freeport,ME
Wolfe&#039;s Neck Center,5,Freeport,ME
Wolf and Company PC,2,Portland,ME
Wolf & Company PC,3,Portland,ME
Wolak Management Group,11,Falmouth,ME
Wolak Management Group,3,Portland,ME
Wolak Management Group,1,Westbrook,ME
Wolak Management Group,1,Yarmouth,ME
WNNLAF,1,Brunswick,ME
WMTW TV,1,Westbrook,ME
WMTW,1,Westbrook,ME
WME Express,13,South Portland,ME
WME Express,10,Portland,ME
WME Express,7,Westbrook,ME
wm,36,Augusta,ME
wm,13,Portland,ME
wm,5,Norridgewock,ME
wm,1,"Augusta, ME",ME
wm,1,Westbrook,ME
WLBZ,5,Bangor,ME
WKS Restaurant Group,1,Rockport,ME
WizeHire,7,Portland,ME
WizeHire,2,Boothbay Harbor,ME
WizeHire,1,Capitol Island,ME
WizeHire,1,Kennebunk,ME
Wiverse,1,Portland,ME
WITRON Group,1,Wiscasset,ME
Witham Family Hotels,29,Bar Harbor,ME
Witham Family Hotels,3,Ellsworth,ME
Witham Family Hotels,3,ME,ME
Witham Family Hotels,3,Salsbury Cove,ME
Witham Family Hotels,2,"Salsbury Cove, ME",ME
Witham Family Hotels,1,Bar Harbor Inn,ME
Wisely Hash,1,Augusta,ME
Wisely Hash,1,Buxton,ME
Wisely Hash,1,Gorham,ME
Wisely Hash,1,Rumford,ME
Wise Snacks,1,Berwick,ME
Wise Snacks,1,ME,ME
Wisdom Dental,2,Auburn,ME
Wisdom Dental,1,Augusta,ME
Wisdom Dental,1,Bangor,ME
Wisdom Dental,1,Biddeford,ME
Wiscasset School Department,2,Wiscasset,ME
Wiscasset Ford,1,Wiscasset,ME
WIS Inventory Solutions,1,Bangor,ME
WIS Inventory Solutions,1,Lewiston,ME
WIS Inventory Solutions,1,Newport,ME
WIS Inventory Solutions,1,South Portland,ME
WIS INTL,1,Portland,ME
WIS International,68,Bangor,ME
WIS International,47,South Portland,ME
WIS International,32,Biddeford,ME
WIS International,28,Lewiston,ME
WIS International,21,Portland,ME
WIS International,17,Scarborough,ME
WIS International,9,Westbrook,ME
WIS International,7,Newport,ME
WIS International,5,Brewer,ME
WIS International,3,Albany,ME
WIS International,3,Windham,ME
WIS International,1,Cranberry Isles,ME
WIS International,1,Falmouth,ME
Wipro,2,Waltham,ME
Wipfli LLP,54,South Portland,ME
Wipfli LLP,20,Augusta,ME
Wipfli LLP,18,Portland,ME
Wipfli LLP,2,"South Portland, ME",ME
Wipfli LLP,2,"South Portland, ME 04106",ME
Wipfli LLP,1,Atlanta,ME
Wipfli LLP,1,"Augusta, ME",ME
Wipfli LLP,1,Chicago,ME
Wipfli LLP,1,Minneapolis,ME
Wipfli LLP,1,Philadelphia,ME
Wipfli LLP,1,Sterling,ME
Wipfli LLP,1,UNAVAILABLE,ME
Wipfli,20,South Portland,ME
Wipfli,12,Remote,ME
Wipfli,4,Augusta,ME
Wipfli,3,,ME
Wipfli,3,Portland,ME
Winxnet,18,Portland,ME
Winxnet,1,Westbrook,ME
"Winthrop, Maine",2,Winthrop,ME
Winthrop Veterinary Hospital,6,Winthrop,ME
Winthrop Fuel Company,1,Winthrop,ME
Winthrop Fuel Co Inc,1,Gardiner,ME
Winthrop Fuel Co Inc,1,Jay,ME
Winthrop Fuel Co Inc,1,Winthrop,ME
Winterberry Heights Alzheimers Special Care Center,1,Bangor,ME
Winterberry Heights,35,Bangor,ME
Winter Harbor Yacht Club,1,Winter Harbor,ME
Winsupply of Portland,1,South Portland,ME
Winston Retail Solutions,1,Ellsworth,ME
Winston Retail Solutions,1,Lincoln,ME
Winston Retail Solutions,1,Mattamisc,ME
Winston Retail,2,Calais,ME
Winston Retail,2,Cranberry Isles,ME
Winston Retail,2,Lincoln,ME
Winston Retail,1,Bangor,ME
Winston Retail,1,Ellsworth,ME
Winston Retail,1,Lincoln County,ME
Winston Retail,1,Portland,ME
Winston Retail,1,South Portland,ME
Winslow School Department,1,Winslow,ME
Winship Green Center for Health and Rehabilitation,16,Bath,ME
Winship Green Center for Health and Rehabilitation,16,Lewiston,ME
Winship Green Center for Health and Rehabilitation,8,Auburn,ME
Winship Green Center for Health and Rehabilitation,8,Topsham,ME
Winship Green Center for Health and Rehabilitation,1,"Auburn, ME",ME
Winship Green Center for Health and Rehabilitation,1,Brunswick,ME
Winship Green Center for Health and Rehabilitation,1,Harpswell,ME
Winship Green Center for Health and Rehabilitation,1,Phippsburg,ME
Winship Green,5,Bath,ME
Winship Green,4,Brunswick,ME
Wing-Itz Restaurant Group,1,Cape Neddick,ME
Wing,4,South Portland,ME
Wing,3,Bangor,ME
Wing,2,Augusta,ME
Wing,2,Lewiston,ME
Wing,1,Portland,ME
Wine Tasting in Home,2,Portland,ME
Wine Tasting in Home,1,Augusta,ME
Wine Tasting in Home,1,Biddeford,ME
Wine Tasting in Home,1,Old Town,ME
"Windward Gardens Center - Camden, ME",4,Camden,ME
Windward Gardens,2,Camden,ME
Windstream Communications,1,,ME
Windstream,1,Charlotte,ME
Windstream,1,Pembroke,ME
"Windsor, Inc.",6,South Portland,ME
"Windsor, Inc.",1,Portland,ME
WINDSOR FASHIONS LLC,1,South Portland,ME
Windsor Fashions,3,South Portland,ME
Windsor Fashions,1,Portland,ME
"Windsor Construction, LLC",1,Old Orchard Beach,ME
"Windham Raymond School District, RSU#14",17,Windham,ME
